lat,lng,category,title,timeStamp,zip,twp
40.2149774,-75.4997122,EMS,EMS: VEHICLE ACCIDENT,2020-03-13 14:27:47,19468,LIMERICK
40.1403204,-75.1120032,Traffic,Traffic: DISABLED VEHICLE -,2018-08-27 23:33:25,19090,UPPER MORELAND
40.1247752,-75.2931878,EMS,EMS: RESPIRATORY EMERGENCY,2016-04-03 19:38:35,19462,PLYMOUTH
40.3639778,-75.5184993,Traffic,Traffic: DISABLED VEHICLE -,2016-12-01 12:09:36,18073,UPPER HANOVER
39.9843179,-75.2812667,Traffic,Traffic: VEHICLE ACCIDENT -,2016-09-09 13:34:07,19096,LOWER MERION
40.1728634,-75.1149120,EMS,EMS: UNRESPONSIVE SUBJECT,2020-03-11 18:01:30,19040,UPPER MORELAND
40.1564481,-75.1220797,EMS,EMS: SUBJECT IN PAIN,2018-03-22 09:40:34,19090,UPPER MORELAND
40.3305544,-75.6238893,EMS,EMS: SUBJECT IN PAIN,2015-12-25 13:18:16,19512,DOUGLASS
40.1144158,-75.4185540,Traffic,Traffic: VEHICLE ACCIDENT -,2018-07-02 12:43:00,19403,WEST NORRITON
40.1004231,-75.2070644,EMS,EMS: VEHICLE ACCIDENT,2019-04-18 15:01:39,,SPRINGFIELD
40.1228130,-75.3402604,Traffic,Traffic: VEHICLE ACCIDENT -,2018-09-02 13:18:40,19401,NORRISTOWN
40.1552833,-75.2642296,EMS,EMS: RESPIRATORY EMERGENCY,2019-05-05 07:30:34,19422,WHITPAIN
40.1685378,-75.4982005,EMS,EMS: GENERAL WEAKNESS,2020-05-09 19:51:43,19468,UPPER PROVIDENCE
40.1456253,-75.1747499,EMS,EMS: UNCONSCIOUS SUBJECT,2018-07-11 13:06:45,19025,UPPER DUBLIN
40.1723141,-75.4927278,Traffic,Traffic: VEHICLE ACCIDENT -,2017-02-22 16:30:42,,UPPER PROVIDENCE
40.0121627,-75.2624047,Traffic,Traffic: VEHICLE ACCIDENT -,2017-02-14 15:33:32,19072,LOWER MERION
40.086567,-75.166432,Traffic,Traffic: VEHICLE ACCIDENT -,2017-09-17 15:00:43,,CHELTENHAM
40.2475081,-75.6524750,EMS,EMS: CARDIAC ARREST,2020-06-18 23:24:32,19464,POTTSTOWN
40.1082406,-75.3452389,EMS,EMS: UNCONSCIOUS SUBJECT,2018-09-22 08:45:20,19405,BRIDGEPORT
40.0828992,-75.0917889,EMS,EMS: VEHICLE ACCIDENT,2020-01-07 17:00:14,,ROCKLEDGE
40.3295702,-75.6272415,EMS,EMS: UNCONSCIOUS SUBJECT,2017-02-05 17:12:09,19512,DOUGLASS
40.1077614,-75.3185491,EMS,EMS: CARDIAC EMERGENCY,2016-06-30 09:03:58,19462,PLYMOUTH
40.1313210,-75.1544604,Traffic,Traffic: VEHICLE ACCIDENT -,2016-10-02 09:44:06,19025,UPPER DUBLIN
40.0621460,-75.1042200,EMS,EMS: SYNCOPAL EPISODE,2019-11-21 09:26:25,19012,CHELTENHAM
40.0972222,-75.3761952,Traffic,Traffic: VEHICLE ACCIDENT -,2019-08-17 16:01:35,,UPPER MERION
40.2415121,-75.2640076,Traffic,Traffic: DISABLED VEHICLE -,2018-05-31 15:49:48,19446,MONTGOMERY
